index,typecode,type,count
271,080113|080304,体育休闲服务;运动场馆;台球厅|体育休闲服务;娱乐场所;酒吧,50
272,130400|060000,政府机构及社会团体;社会团体;社会团体相关|购物服务;购物相关场所;购物相关场所,50
273,070500|170200,生活服务;物流速递;物流速递|公司企业;公司;公司,50
274,130506|130105,政府机构及社会团体;公检法机构;社会治安机构|政府机构及社会团体;政府机关;乡镇级政府及事业单位,50
275,130102|140000,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|科教文化服务;科教文化场所;科教文化场所,50
276,130408|130407,政府机构及社会团体;社会团体;慈善机构|政府机构及社会团体;社会团体;行业协会,49
277,071300|061100,生活服务;摄影冲印店;摄影冲印|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,49
278,080304|050000,体育休闲服务;娱乐场所;酒吧|餐饮服务;餐饮相关场所;餐饮相关,48
279,120201|100100,商务住宅;楼宇;商务写字楼|住宿服务;宾馆酒店;宾馆酒店,48
280,141400|080100,科教文化服务;培训机构;培训机构|体育休闲服务;运动场馆;运动场所,48
281,120304|080500,商务住宅;住宅区;社区中心|体育休闲服务;休闲场所;休闲场所,48
282,060305|070604,购物服务;家电电子卖场;手机销售|生活服务;电讯营业厅;中国联通营业厅,47
283,141500|070000,科教文化服务;驾校;驾校|生活服务;生活服务场所;生活服务场所,47
284,071100|061100,生活服务;美容美发店;美容美发店|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,47
285,110202|110203,风景名胜;风景名胜;国家级景点|风景名胜;风景名胜;省级景点,45
286,070601|060300,生活服务;电讯营业厅;中国电信营业厅|购物服务;家电电子卖场;家电电子卖场,45
287,070304,生活服务;售票处;船票代售点,45
288,060102|080111,购物服务;商场;普通商场|体育休闲服务;运动场馆;健身中心,45
289,130104|130103,政府机构及社会团体;政府机关;区县级政府及事业单位|政府机构及社会团体;政府机关;地市级政府及事业单位,45
290,130102|141300,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|科教文化服务;科研机构;科研机构,45
291,120201|130700,商务住宅;楼宇;商务写字楼|政府机构及社会团体;工商税务机构;工商税务机构,44
292,061208|071200,购物服务;专卖店;自行车专卖店|生活服务;维修站点;维修站点,44
293,071100|061400,生活服务;美容美发店;美容美发店|购物服务;个人用品/化妆品店;其它个人用品店,44
294,070701|070800,生活服务;事务所;律师事务所|生活服务;人才市场;人才市场,44
295,130106|130506,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|政府机构及社会团体;公检法机构;社会治安机构,44
296,130105|130506,政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;公检法机构;社会治安机构,43
297,130701|130407,政府机构及社会团体;工商税务机构;工商部门|政府机构及社会团体;社会团体;行业协会,43
298,130400|070000,政府机构及社会团体;社会团体;社会团体相关|生活服务;生活服务场所;生活服务场所,43
299,080305|050400,体育休闲服务;娱乐场所;游戏厅|餐饮服务;休闲餐饮场所;休闲餐饮场所,42
300,130102|130106,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,42
301,080302|050000,体育休闲服务;娱乐场所;KTV|餐饮服务;餐饮相关场所;餐饮相关,42
302,130100|130400,政府机构及社会团体;政府机关;政府机关相关|政府机构及社会团体;社会团体;社会团体相关,41
303,130105|130500,政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;公检法机构;公检法机关,40
304,130100|170200,政府机构及社会团体;政府机关;政府机关相关|公司企业;公司;公司,40
305,150209,交通设施服务;火车站;票务相关,39
306,130100|070000,政府机构及社会团体;政府机关;政府机关相关|生活服务;生活服务场所;生活服务场所,39
307,080302|050100,体育休闲服务;娱乐场所;KTV|餐饮服务;中餐厅;中餐厅,39
308,050201|080304,餐饮服务;外国餐厅;西餐厅(综合风味)|体育休闲服务;娱乐场所;酒吧,39
309,170200|070500,公司企业;公司;公司|生活服务;物流速递;物流速递,38
310,120304|070000,商务住宅;住宅区;社区中心|生活服务;生活服务场所;生活服务场所,38
311,061210|080304,购物服务;专卖店;烟酒专卖店|体育休闲服务;娱乐场所;酒吧,38
312,130202,政府机构及社会团体;外国机构;国际组织办事处,38
313,070609,生活服务;电讯营业厅;电讯盈科,38
314,070301|170200,生活服务;售票处;飞机票代售点|公司企业;公司;公司,38
315,100200|120000,住宿服务;旅馆招待所;旅馆招待所|商务住宅;商务住宅相关;商务住宅相关,37
316,170200|130400,公司企业;公司;公司|政府机构及社会团体;社会团体;社会团体相关,37
317,080100|080500,体育休闲服务;运动场馆;运动场所|体育休闲服务;休闲场所;休闲场所,37
318,080304|050300,体育休闲服务;娱乐场所;酒吧|餐饮服务;快餐厅;快餐厅,36
319,141202|080500,科教文化服务;学校;中学|体育休闲服务;休闲场所;休闲场所,36
320,130400|170000,政府机构及社会团体;社会团体;社会团体相关|公司企业;公司企业;公司企业,36
321,120302|110000,商务住宅;住宅区;住宅小区|风景名胜;风景名胜相关;旅游景点,36
322,120201|070000,商务住宅;楼宇;商务写字楼|生活服务;生活服务场所;生活服务场所,36
323,150300,交通设施服务;港口码头;港口码头,36
324,071200|071600,生活服务;维修站点;维修站点|生活服务;中介机构;中介机构,36
325,070306|070304,生活服务;售票处;公园景点售票处|生活服务;售票处;船票代售点,36
326,080111|080110,体育休闲服务;运动场馆;健身中心|体育休闲服务;运动场馆;游泳馆,36
327,080306|050100,体育休闲服务;娱乐场所;棋牌室|餐饮服务;中餐厅;中餐厅,35
328,120201|120100,商务住宅;楼宇;商务写字楼|商务住宅;产业园区;产业园区,35
329,070305,生活服务;售票处;公交卡/月票代售点,35
330,130106|140800,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|科教文化服务;文化宫;文化宫,35
331,130505|130104,政府机构及社会团体;公检法机构;公证鉴定机构|政府机构及社会团体;政府机关;区县级政府及事业单位,35
332,071600|170200,生活服务;中介机构;中介机构|公司企业;公司;公司,35
333,170206|070800,公司企业;公司;网络科技|生活服务;人才市场;人才市场,34
334,070603|060000,生活服务;电讯营业厅;中国移动营业厅|购物服务;购物相关场所;购物相关场所,34
335,060000|070000,购物服务;购物相关场所;购物相关场所|生活服务;生活服务场所;生活服务场所,34
336,130107|130103,政府机构及社会团体;政府机关;外地政府办|政府机构及社会团体;政府机关;地市级政府及事业单位,34
337,072000,生活服务;婴儿服务场所;婴儿服务场所,33
338,141300|130100,科教文化服务;科研机构;科研机构|政府机构及社会团体;政府机关;政府机关相关,33
339,080116,体育休闲服务;运动场馆;赛马场,33
340,071903,生活服务;丧葬设施;殡仪馆,33
341,050202|080304,餐饮服务;外国餐厅;日本料理|体育休闲服务;娱乐场所;酒吧,33
342,080111|080101,体育休闲服务;运动场馆;健身中心|体育休闲服务;运动场馆;综合体育馆,32
343,170200|071600,公司企业;公司;公司|生活服务;中介机构;中介机构,32
344,100104|080301,住宿服务;宾馆酒店;三星级宾馆|体育休闲服务;娱乐场所;夜总会,30
345,120201|060000,商务住宅;楼宇;商务写字楼|购物服务;购物相关场所;购物相关场所,30
346,071100|061200,生活服务;美容美发店;美容美发店|购物服务;专卖店;专营店,30
347,130102|130400,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会团体;社会团体;社会团体相关,30
348,090210,医疗保健服务;专科医院;精神病医院,30
349,071200|170200,生活服务;维修站点;维修站点|公司企业;公司;公司,30
350,080306|050600,体育休闲服务;娱乐场所;棋牌室|餐饮服务;茶艺馆;茶艺馆,30
351,071200|060300,生活服务;维修站点;维修站点|购物服务;家电电子卖场;家电电子卖场,30
352,060101|120201,购物服务;商场;购物中心|商务住宅;楼宇;商务写字楼,29
353,071500|071200,生活服务;洗衣店;洗衣店|生活服务;维修站点;维修站点,29
354,130102|130104,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会团体;政府机关;区县级政府及事业单位,29
355,130100|140000,政府机构及社会团体;政府机关;政府机关相关|科教文化服务;科教文化场所;科教文化场所,29
356,071901|071902,生活服务;丧葬设施;陵园|生活服务;丧葬设施;公墓,29
357,080308|071200,体育休闲服务;娱乐场所;网吧|生活服务;维修站点;维修站点,28
358,100104|071400|170200|080500,住宿服务;宾馆酒店;三星级宾馆|生活服务;洗浴推拿场所;洗浴推拿场所|公司企业;公司;公司|体育休闲服务;休闲场所;休闲场所,28
359,170300|070000,公司企业;工厂;工厂|生活服务;生活服务场所;生活服务场所,28
